event_ts,worker_id,batch_id,session_id,source_path,distance_bucket,environment_condition,batch_reviewed,batch_accepted,batch_dropped,main_drop_code,workflow_status,batch_disposition,avg_qc_sec,nas_input_path,nas_output_path,review_note
2025-03-12 09:43:00,QC001,20250312_01_B1,SES-20250312-01,/nas/raw/2025-03-12/QC001/20250312_01_B1,30m+,rain_wetroad,2296,1427,869,LOW_VISIBILITY,PASS_TO_NEXT,PARTIAL_PASS,1.56,/nas/input/SES-20250312-01/20250312_01_B1,/nas/output/SES-20250312-01/20250312_01_B1,흐림/저조도/가림 등으로 객체 식별 기준 충족 불가
2025-03-12 11:50:00,QC001,20250312_01_B2,SES-20250312-01,/nas/raw/2025-03-12/QC001/20250312_01_B2,30m+,day_clear,2296,1355,941,LOW_VISIBILITY,REVIEW_COMPLETE,PARTIAL_PASS,1.7,/nas/input/SES-20250312-01/20250312_01_B2,/nas/output/SES-20250312-01/20250312_01_B2,흐림/저조도/가림 등으로 객체 식별 기준 충족 불가
2025-03-12 13:04:00,QC001,20250312_01_B3,SES-20250312-01,/nas/raw/2025-03-12/QC001/20250312_01_B3,0-10m,day_clear,2296,1391,905,LOW_VISIBILITY,REVIEW_COMPLETE,PARTIAL_PASS,1.54,/nas/input/SES-20250312-01/20250312_01_B3,/nas/output/SES-20250312-01/20250312_01_B3,흐림/저조도/가림 등으로 객체 식별 기준 충족 불가
2025-03-12 15:44:00,QC001,20250312_01_B4,SES-20250312-01,/nas/raw/2025-03-12/QC001/20250312_01_B4,10-30m,night_lowlight,2296,1391,905,IMAGE_CONTENT_AMBIGUITY,DROP_AND_ARCHIVE,PARTIAL_PASS,1.81,/nas/input/SES-20250312-01/20250312_01_B4,/nas/output/SES-20250312-01/20250312_01_B4,객체 클래스 Label 불일치
2025-03-12 09:03:00,QC002,20250312_02_B1,SES-20250312-02,/nas/raw/2025-03-12/QC002/20250312_02_B1,0-10m,mixed_indoor_outdoor,1882,1117,765,DUPLICATE_CORRUPT,DROP_AND_ARCHIVE,PARTIAL_PASS,1.59,/nas/input/SES-20250312-02/20250312_02_B1,/nas/output/SES-20250312-02/20250312_02_B1,중복 또는 손상 이미지 포함
2025-03-12 11:16:00,QC002,20250312_02_B2,SES-20250312-02,/nas/raw/2025-03-12/QC002/20250312_02_B2,10-30m,day_clear,1882,1053,829,METADATA_MISMATCH,PASS_TO_NEXT,PARTIAL_PASS,1.67,/nas/input/SES-20250312-02/20250312_02_B2,/nas/output/SES-20250312-02/20250312_02_B2,거리·환경 메타와 실제 프레임 불일치
2025-03-12 13:25:00,QC002,20250312_02_B3,SES-20250312-02,/nas/raw/2025-03-12/QC002/20250312_02_B3,30m+,rain_wetroad,1882,1085,797,LOW_VISIBILITY,PASS_TO_NEXT,PARTIAL_PASS,1.91,/nas/input/SES-20250312-02/20250312_02_B3,/nas/output/SES-20250312-02/20250312_02_B3,흐림/가림 프레임 다수
2025-03-12 15:37:00,QC002,20250312_02_B4,SES-20250312-02,/nas/raw/2025-03-12/QC002/20250312_02_B4,10-30m,day_clear,1882,1086,796,LOW_VISIBILITY,REVIEW_COMPLETE,PARTIAL_PASS,1.61,/nas/input/SES-20250312-02/20250312_02_B4,/nas/output/SES-20250312-02/20250312_02_B4,흐림/저조도/가림 등으로 객체 식별 기준 충족 불가
2025-03-12 10:43:00,QC003,20250312_03_B1,SES-20250312-03,/nas/raw/2025-03-12/QC003/20250312_03_B1,10-30m,night_lowlight,1853,1044,809,TEMPORAL_ANNOTATION,REVIEW_COMPLETE,PARTIAL_PASS,1.45,/nas/input/SES-20250312-03/20250312_03_B1,/nas/output/SES-20250312-03/20250312_03_B1,객체 출현/이탈 구간 불명확 또는 프레임 간 불연속 발생
2025-03-12 12:45:00,QC003,20250312_03_B2,SES-20250312-03,/nas/raw/2025-03-12/QC003/20250312_03_B2,10-30m,day_clear,1853,977,876,LOW_VISIBILITY,PASS_TO_NEXT,PARTIAL_PASS,2.01,/nas/input/SES-20250312-03/20250312_03_B2,/nas/output/SES-20250312-03/20250312_03_B2,흐림/저조도/가림 등으로 객체 식별 기준 충족 불가
