work_date,worker_id,shift,reviewed_images,accepted_images,dropped_images,drop_rate,folder_structure_drop,temporal_annotation_drop,duplicate_corrupt_drop,low_visibility_drop,image_content_ambiguity_drop,other_manual_drop,avg_qc_sec_per_image,environment_scope,distance_scope,primary_issue_category,note
2025-03-12,QC001,09:00-18:00,9184,5564,3620,0.394164,1556,1122,325,289,111,217,1.6525,"주간, 오후(맑음)",중거리(10~30m),DUPLICATE_CORRUPT,중복 파일 검출
2025-03-12,QC002,09:00-18:00,7528,4341,3187,0.423353,1370,987,286,254,99,191,1.695,"주간, 오전(흐림)",중거리(10~30m),DUPLICATE_CORRUPT,중복 파일 검출
2025-03-12,QC003,10:00-19:00,7412,4043,3369,0.454533,1448,1044,303,269,103,202,1.74,야간,중거리(10~30m),IMAGE_CONTENT_AMBIGUITY,야간 환경으로 객체 식별 기준 충족 불가
2025-03-12,QC004,10:00-19:00,7689,4211,3478,0.452335,1495,1078,313,278,106,208,1.6125,"주간, 오후(맑음)",근거리(0~10m),LOW_VISIBILITY,blur 및 저조도로 객체 식별 불가
2025-03-13,QC001,09:00-18:00,9276,5535,3741,0.403299,1608,1159,336,299,115,224,1.7425,"주간, 저녁(맑음)",근거리(0~10m),LOW_VISIBILITY,blur 및 저조도로 객체 식별 불가
2025-03-13,QC002,09:00-18:00,7486,4162,3324,0.444029,1429,1030,299,265,102,199,1.815,"주간, 오후(비)",중거리(10~30m),TEMPORAL_ANNOTATION,객체 출현/이탈 구간 불명확
2025-03-13,QC003,10:00-19:00,7594,4146,3448,0.454043,1482,1068,310,275,107,206,1.77,"주간, 오전(맑음)",중거리(10~30m),TEMPORAL_ANNOTATION,객체 클래스 불일치
2025-03-13,QC004,10:00-19:00,7735,4173,3562,0.460504,1531,1104,320,284,110,213,1.715,"주간, 오후(흐림)",근거리(0~10m),TEMPORAL_ANNOTATION,프레임 간 객체 이동 불연속 발생
2025-03-14,QC001,09:00-18:00,9058,5540,3518,0.388386,1512,1090,316,281,108,211,1.8175,"주간, 저녁(비)",중거리(10~30m),LOW_VISIBILITY,과다 노출로 인한 객체 인식 불가
2025-03-14,QC002,09:00-18:00,7612,4201,3411,0.448108,1466,1057,306,272,106,204,1.62,"주간, 오후(맑음)",원거리(30m+),LOW_VISIBILITY,과다 노출로 인한 객체 인식 불가
2025-03-14,QC003,10:00-19:00,7355,4059,3296,0.448131,1417,1021,296,263,102,197,1.775,"주간, 오전(흐림)",원거리(30m+),LOW_VISIBILITY,과다 노출로 인한 객체 인식 불가
2025-03-14,QC004,10:00-19:00,7581,4193,3388,0.446907,1456,1050,304,271,104,203,1.805,"주간, 저녁(맑음)",원거리(30m+),LOW_VISIBILITY,과다 노출로 인한 객체 인식 불가
